wave_A  EA1_lo_cm2  EA1_hi_cm2
40.096000  2.38987456e-01  4.02825804e-01
40.128000  2.39255727e-01  4.03084563e-01
40.160000  2.39523692e-01  4.03342508e-01
40.192000  2.39791351e-01  4.03599640e-01
40.224000  2.40058704e-01  4.03855963e-01
40.256000  2.40325665e-01  4.04111330e-01
40.288000  2.40590380e-01  4.04362628e-01
40.320000  2.40854786e-01  4.04613117e-01
40.352000  2.41118885e-01  4.04862799e-01
40.384000  2.41382676e-01  4.05111677e-01
40.416000  2.41646160e-01  4.05359751e-01
40.448000  2.41909338e-01  4.05607025e-01
40.480000  2.42172211e-01  4.05853501e-01
40.512000  2.42434779e-01  4.06099181e-01
40.544000  2.42695029e-01  4.06340693e-01
40.576000  2.42954531e-01  4.06580674e-01
40.608000  2.43213724e-01  4.06819859e-01
40.640000  2.43472609e-01  4.07058249e-01
40.672000  2.43731186e-01  4.07295847e-01
40.704000  2.43989456e-01  4.07532655e-01
40.736000  2.44247420e-01  4.07768675e-01
40.768000  2.44505078e-01  4.08003909e-01
40.800000  2.44761323e-01  4.08236512e-01
40.832000  2.45016112e-01  4.08466416e-01
40.864000  2.45270592e-01  4.08695534e-01
40.896000  2.45524762e-01  4.08923868e-01
40.928000  2.45778624e-01  4.09151421e-01
40.960000  2.46032178e-01  4.09378194e-01
40.992000  2.46285425e-01  4.09604190e-01
41.024000  2.46559044e-01  4.09863784e-01
41.056000  2.46839091e-01  4.10133762e-01
41.088000  2.47116447e-01  4.10398962e-01
41.120000  2.47393453e-01  4.10663279e-01
41.152000  2.47670111e-01  4.10926716e-01
41.184000  2.47946422e-01  4.11189275e-01
41.216000  2.48222386e-01  4.11450959e-01
41.248000  2.48498004e-01  4.11711770e-01
41.280000  2.48749259e-01  4.11971710e-01
41.312000  2.48942347e-01  4.12230782e-01
41.344000  2.49118005e-01  4.12460901e-01
41.376000  2.49276078e-01  4.12661826e-01
41.408000  2.49433663e-01  4.12861867e-01
41.440000  2.49590760e-01  4.13061025e-01
41.472000  2.49747371e-01  4.13259304e-01
41.504000  2.49903498e-01  4.13456706e-01
41.536000  2.50059142e-01  4.13611405e-01
41.568000  2.50214304e-01  4.13734244e-01
41.600000  2.50368985e-01  4.13856125e-01
41.632000  2.50521122e-01  4.13973640e-01
41.664000  2.50672355e-01  4.14089500e-01
41.696000  2.50823107e-01  4.14204407e-01
41.728000  2.50973379e-01  4.14318364e-01
41.760000  2.51123173e-01  4.14431373e-01
41.792000  2.51272490e-01  4.14543437e-01
41.824000  2.51421331e-01  4.14654559e-01
41.856000  2.51569698e-01  4.14764743e-01
41.888000  2.51717479e-01  4.14873805e-01
41.920000  2.51862410e-01  4.14978016e-01
41.952000  2.52006867e-01  4.15081293e-01
41.984000  2.71715512e-01  4.15183638e-01
42.016000  2.72110337e-01  4.15277908e-01
42.048000  2.72500243e-01  4.15364138e-01
42.080000  2.72889913e-01  4.15449486e-01
42.112000  2.73279348e-01  4.15533957e-01
42.144000  2.73668547e-01  4.18621609e-01
42.176000  2.74057162e-01  4.28829485e-01
42.208000  2.74443412e-01  4.31662843e-01
42.240000  2.74829417e-01  4.32158182e-01
42.272000  2.75215178e-01  4.32653034e-01
42.304000  2.75600694e-01  4.33147401e-01
42.336000  2.75985966e-01  4.33641282e-01
42.368000  2.76370994e-01  4.34134679e-01
42.400000  2.76755777e-01  4.34627593e-01
42.432000  2.77140316e-01  4.35120022e-01
42.464000  2.77524299e-01  4.35611481e-01
42.496000  2.77905622e-01  4.36098667e-01
42.528000  2.78286692e-01  4.36585359e-01
42.560000  2.78667507e-01  4.37071557e-01
42.592000  2.79048069e-01  4.37557263e-01
42.624000  2.79428377e-01  4.38042476e-01
42.656000  2.79808431e-01  4.38527198e-01
42.688000  2.80188231e-01  4.39011428e-01
42.720000  2.80567777e-01  4.39495168e-01
42.752000  2.80947069e-01  4.39978417e-01
42.784000  2.81323617e-01  4.40457278e-01
42.816000  2.81699808e-01  4.40935491e-01
42.848000  2.82075737e-01  4.41413203e-01
42.880000  2.82451403e-01  4.41890416e-01
42.912000  2.82826806e-01  4.42367131e-01
42.944000  2.83201947e-01  4.42843347e-01
42.976000  2.83576825e-01  4.43319065e-01
43.008000  2.83941993e-01  4.43779522e-01
43.040000  2.84278573e-01  4.44195230e-01
43.072000  2.84613013e-01  4.44607537e-01
43.104000  2.84946332e-01  4.45018039e-01
43.136000  2.85279402e-01  4.45428099e-01
43.168000  2.85612221e-01  4.45837714e-01
43.200000  2.85944791e-01  4.46246888e-01
43.232000  2.86277111e-01  4.46655618e-01
43.264000  2.86609181e-01  4.47063907e-01
43.296000  2.86941001e-01  4.47471754e-01
43.328000  2.87272571e-01  4.47879160e-01
43.360000  2.89990968e-01  4.52006846e-01
43.392000  2.98741794e-01  4.65533074e-01
43.424000  3.07232828e-01  4.78648122e-01
43.456000  3.15487803e-01  4.91389268e-01
43.488000  3.23527158e-01  5.03788625e-01
43.520000  3.31368644e-01  5.15874088e-01
43.552000  3.39027786e-01  5.27670060e-01
43.584000  3.46518254e-01  5.39198035e-01
43.616000  3.53852156e-01  5.50477052e-01
43.648000  3.61040274e-01  5.61524072e-01
43.680000  3.63298686e-01  5.64900655e-01
43.712000  3.63831827e-01  5.65593782e-01
43.744000  3.64364903e-01  5.66286657e-01
43.776000  3.64897913e-01  5.66979280e-01
43.808000  3.65430857e-01  5.67671651e-01
43.840000  3.65963734e-01  5.68363769e-01
43.872000  3.66496543e-01  5.69055634e-01
43.904000  3.67029285e-01  5.70144966e-01
43.936000  3.67561959e-01  5.71440093e-01
43.968000  3.68094451e-01  5.72735501e-01
44.000000  3.68625163e-01  5.74028697e-01
44.032000  3.69086543e-01  5.75214395e-01
44.064000  3.69547842e-01  5.76400346e-01
44.096000  3.70641942e-01  5.77586547e-01
44.128000  3.71856473e-01  5.78772997e-01
44.160000  3.73071486e-01  5.79959694e-01
44.192000  3.74286980e-01  5.81146635e-01
44.224000  3.75502952e-01  5.82333821e-01
44.256000  3.76719401e-01  5.83521248e-01
44.288000  3.77935895e-01  5.84708253e-01
44.320000  3.79151554e-01  5.85893478e-01
44.352000  3.80367669e-01  5.87078926e-01
44.384000  3.81584237e-01  5.88264593e-01
44.416000  3.82801256e-01  5.89450479e-01
44.448000  3.84018724e-01  5.90636581e-01
44.480000  3.85236637e-01  5.91822897e-01
44.512000  3.86454994e-01  5.93009426e-01
44.544000  3.87673793e-01  5.90420227e-01
44.576000  3.88893030e-01  5.86692164e-01
44.608000  3.90112143e-01  5.85994950e-01
44.640000  3.91330326e-01  5.86113824e-01
44.672000  3.92548927e-01  5.86232126e-01
44.704000  3.93767944e-01  5.86349857e-01
44.736000  4.00957462e-01  5.86467017e-01
44.768000  4.01150144e-01  5.86583608e-01
44.800000  4.01342516e-01  5.86699631e-01
44.832000  4.01534580e-01  5.86815086e-01
44.864000  4.01726336e-01  5.86929974e-01
44.896000  4.01917783e-01  5.87044296e-01
44.928000  4.02108533e-01  5.87157482e-01
44.960000  4.02297342e-01  5.87267722e-01
44.992000  4.02485841e-01  5.87377394e-01
45.024000  4.02609870e-01  5.87392894e-01
45.056000  4.02712308e-01  5.87376842e-01
45.088000  4.02814555e-01  5.87360471e-01
45.120000  4.02916613e-01  5.87343780e-01
45.152000  4.03018480e-01  5.87326770e-01
45.184000  4.03120158e-01  5.87309442e-01
45.216000  4.03221646e-01  5.87291795e-01
45.248000  4.03322944e-01  5.87273830e-01
45.280000  4.03422359e-01  5.87253083e-01
45.312000  4.03521487e-01  5.87231878e-01
45.344000  4.03620422e-01  5.87210353e-01
45.376000  4.03719164e-01  5.87188508e-01
45.408000  4.03817714e-01  5.87166344e-01
45.440000  4.03916072e-01  5.87143861e-01
45.472000  4.04014237e-01  5.87121059e-01
45.504000  4.04112209e-01  5.87097939e-01
45.536000  4.04209989e-01  5.87074501e-01
45.568000  4.04307577e-01  5.87050745e-01
45.600000  4.04403989e-01  5.87025245e-01
45.632000  4.04499400e-01  5.86998255e-01
45.664000  4.04594616e-01  5.86970945e-01
45.696000  4.04689636e-01  5.86943315e-01
45.728000  4.04784462e-01  5.86915366e-01
45.760000  4.04879092e-01  5.86887098e-01
45.792000  4.04973527e-01  5.86858512e-01
45.824000  4.05067766e-01  5.86829607e-01
45.856000  4.05161811e-01  5.86800384e-01
45.888000  4.05255660e-01  5.86770843e-01
45.920000  4.05349314e-01  5.86740985e-01
45.952000  4.05443727e-01  5.86712189e-01
45.984000  4.05537951e-01  5.86683085e-01
46.016000  4.05581932e-01  5.86581281e-01
46.048000  4.05575776e-01  5.86406992e-01
46.080000  4.05569570e-01  5.86232676e-01
46.112000  4.05563313e-01  5.86058333e-01
46.144000  4.05557005e-01  5.85883962e-01
46.176000  4.05550645e-01  5.85709564e-01
46.208000  4.05544234e-01  5.85535139e-01
46.240000  4.05537771e-01  5.85360684e-01
46.272000  4.05538810e-01  5.85197103e-01
46.304000  4.05558428e-01  5.85060365e-01
46.336000  4.05578036e-01  5.84877544e-01
46.368000  4.05597633e-01  5.84602993e-01
46.400000  4.05617218e-01  5.84328470e-01
46.432000  4.05636792e-01  5.84053976e-01
46.464000  4.05656355e-01  5.83779511e-01
46.496000  4.05675906e-01  5.83505074e-01
46.528000  4.05695445e-01  5.83230665e-01
46.560000  4.05714973e-01  5.82956285e-01
46.592000  4.05734488e-01  5.82681932e-01
46.624000  4.05753298e-01  5.82406611e-01
46.656000  4.05771132e-01  5.82129937e-01
46.688000  4.05788953e-01  5.81853291e-01
46.720000  4.05806761e-01  5.81576674e-01
46.752000  4.05893805e-01  5.81300085e-01
46.784000  4.06051819e-01  5.81023525e-01
46.816000  4.06209796e-01  5.80746993e-01
46.848000  4.06367733e-01  5.80470488e-01
46.880000  4.06525632e-01  5.80194011e-01
46.912000  4.06683492e-01  5.79917561e-01
46.944000  4.06841313e-01  5.79641139e-01
46.976000  4.07001108e-01  5.79367610e-01
47.008000  4.07136937e-01  5.78683994e-01
47.040000  4.07191280e-01  5.77799980e-01
47.072000  4.07245653e-01  5.77427428e-01
47.104000  4.07300058e-01  5.77225427e-01
47.136000  4.07354493e-01  5.77023659e-01
47.168000  4.07408959e-01  5.76822125e-01
47.200000  4.07463455e-01  5.76620824e-01
47.232000  4.07517982e-01  5.76419754e-01
47.264000  4.07572538e-01  5.76218916e-01
47.296000  4.07627124e-01  5.76018309e-01
47.328000  4.07681547e-01  5.75817661e-01
47.360000  4.07735129e-01  5.75616014e-01
47.392000  4.07788740e-01  5.75414595e-01
47.424000  4.10371407e-01  5.75213406e-01
47.456000  4.17205274e-01  5.75012444e-01
47.488000  4.17322308e-01  5.74811709e-01
47.520000  4.17439328e-01  5.74611201e-01
47.552000  4.17556333e-01  5.74410919e-01
47.584000  4.17673323e-01  5.74210863e-01
47.616000  4.17790299e-01  5.74011030e-01
47.648000  4.17907259e-01  5.73811422e-01
47.680000  4.18024204e-01  5.73612038e-01
47.712000  4.18139785e-01  5.73411025e-01
47.744000  4.18255022e-01  5.73209789e-01
47.776000  4.18370243e-01  5.73008775e-01
47.808000  4.18485446e-01  5.72807983e-01
47.840000  4.18600632e-01  5.72607412e-01
47.872000  4.18715800e-01  5.72407061e-01
47.904000  4.18830951e-01  5.72206931e-01
47.936000  4.18946083e-01  5.72007020e-01
47.968000  4.19061198e-01  5.71807327e-01
48.000000  4.19176294e-01  5.71607853e-01
48.032000  4.19174553e-01  5.71249396e-01
48.064000  4.19172380e-01  5.70890791e-01
48.096000  4.19168915e-01  5.70530867e-01
48.128000  4.19165459e-01  5.70171397e-01
48.160000  4.19162012e-01  5.69812380e-01
48.192000  4.19158574e-01  5.69453816e-01
48.224000  4.19155145e-01  5.69095702e-01
48.256000  4.19151724e-01  5.68738039e-01
48.288000  4.19148312e-01  5.68380824e-01
48.320000  4.19144908e-01  5.68024058e-01
48.352000  4.19141512e-01  5.67667738e-01
48.384000  4.19138124e-01  5.67311864e-01
48.416000  4.19134744e-01  5.66956434e-01
48.448000  4.19130635e-01  5.66600453e-01
48.480000  4.19125857e-01  5.66244002e-01
48.512000  4.19121086e-01  5.65887995e-01
48.544000  4.19116321e-01  5.65532429e-01
48.576000  4.19111564e-01  5.65177306e-01
48.608000  4.19106812e-01  5.64822622e-01
48.640000  4.19102067e-01  5.64468378e-01
48.672000  4.19097328e-01  5.64114572e-01
48.704000  4.19092594e-01  5.63761204e-01
48.736000  4.19087866e-01  5.63408271e-01
48.768000  4.19083144e-01  5.63055774e-01
48.800000  4.19078426e-01  5.62703710e-01
48.832000  4.19072769e-01  5.62350812e-01
48.864000  4.19066496e-01  5.62019429e-01
48.896000  4.19060226e-01  5.61722616e-01
48.928000  4.19053960e-01  5.61426165e-01
48.960000  4.19047696e-01  5.61130077e-01
48.992000  4.19041436e-01  5.60834350e-01
49.024000  4.18968660e-01  5.60450002e-01
49.056000  4.18873734e-01  5.60036487e-01
49.088000  4.18778835e-01  5.59623483e-01
49.120000  4.18683962e-01  5.59210990e-01
49.152000  4.18589115e-01  5.58799007e-01
49.184000  4.18494293e-01  5.58387531e-01
49.216000  4.18398602e-01  5.57975367e-01
49.248000  4.18302032e-01  5.57562505e-01
49.280000  4.18205487e-01  5.57150151e-01
49.312000  4.18108968e-01  5.56738303e-01
49.344000  4.18012473e-01  5.56326960e-01
49.376000  4.17916004e-01  5.55916121e-01
