wave_A  modfactor_lo  modfactor_hi
43.936000  0.94696800  0.92481920
43.968000  0.94698400  0.92480960
44.000000  0.94700000  0.92480000
44.032000  0.94701600  0.92479040
44.064000  0.94703200  0.92478080
44.096000  0.94704800  0.92477120
44.128000  0.94706400  0.92476160
44.160000  0.94708000  0.92475200
44.192000  0.94709600  0.92474240
44.224000  0.94711200  0.92473280
44.256000  0.94712800  0.92472320
44.288000  0.94714400  0.92471360
44.320000  0.94716000  0.92470400
44.352000  0.94717600  0.92469440
44.384000  0.94719200  0.92468480
44.416000  0.94720800  0.92467520
44.448000  0.94722400  0.92466560
44.480000  0.94724000  0.92465600
44.512000  0.94725600  0.92464640
44.544000  0.94727200  0.92463680
44.576000  0.94728800  0.92462720
44.608000  0.94730400  0.92461760
44.640000  0.94732000  0.92460800
44.672000  0.94733600  0.92459840
44.704000  0.94735200  0.92458880
44.736000  0.94736800  0.92457920
44.768000  0.94738400  0.92456960
44.800000  0.94740000  0.92456000
44.832000  0.94741600  0.92455040
44.864000  0.94743200  0.92454080
44.896000  0.94744800  0.92453120
44.928000  0.94746400  0.92452160
44.960000  0.94748000  0.92451200
44.992000  0.94749600  0.92450240
45.024000  0.94751200  0.92449280
45.056000  0.94752800  0.92448320
45.088000  0.94754400  0.92447360
45.120000  0.94756000  0.92446400
45.152000  0.94757600  0.92445440
45.184000  0.94759200  0.92444480
45.216000  0.94760800  0.92443520
45.248000  0.94762400  0.92442560
45.280000  0.94764000  0.92441600
45.312000  0.94765600  0.92440640
45.344000  0.94767200  0.92439680
45.376000  0.94768800  0.92438720
45.408000  0.94770400  0.92437760
45.440000  0.94772000  0.92436800
45.472000  0.94773600  0.92435840
45.504000  0.94775200  0.92434880
45.536000  0.94776800  0.92433920
45.568000  0.94778400  0.92432960
45.600000  0.94780000  0.92432000
45.632000  0.94781600  0.92431040
45.664000  0.94783200  0.92430080
45.696000  0.94784800  0.92429120
45.728000  0.94786400  0.92428160
45.760000  0.94788000  0.92427200
45.792000  0.94789600  0.92426240
45.824000  0.94791200  0.92425280
45.856000  0.94792800  0.92424320
45.888000  0.94794400  0.92423360
45.920000  0.94796000  0.92422400
